0xf9cc437514d852d33ee434c7dee2296e36c78cf5b8a6ce8f98e9620a97f304db	Crypto_Price     	Crypto_Price_XRP                 	0.7274	Will the price of XRP be between $3.12 and $3.15 on September 18 at 8PM ET?
0x25bfc0849103225f131a26f5ceeb3926d49c2e120399d26f8bec8255508dab12	Sports_Soccer    	Sports_Soccer_Other              	0.6303	Will AJ Auxerre vs. FC Lorient end in a draw?
0x8bb789fda142020026173cd7f4ee43d2054484052f7127660e1650df839396c2	Sports_Soccer    	Sports_Soccer_Americas           	0.6382	World Cup: Tuesday - Morocco vs. Spain
0x85c141453668e6e09755d04d10bc83cf598c706e3999a614511f82d0a356a738	Politics_US      	Politics_US_Trump                	0.6360	Will Donald or Melania Trump say "Shutdown" or "Shut Down" during executive order signing events on November 13?
0xeba5fb5b6788ca01028865ecff341e0b2920e6a31ffabc8230007eb058652543	Sports_Individual	Sports_Racing_Motorsport         	0.6066	Will Red Bull have the highest Constructor score at the 2025 Canadian Grand Prix?
0x66babc0bb6c0f9bbf0b97097aed58700a99c22f94597dcbba131647d6a530f90	Sports_Football  	Sports_Football_NFL              	0.6469	Will Peyton Hendershot score a TD in Super Bowl LIX?
0x1100bb732f8193bce9b781a71aa63a89e2d81d7118e26392a09c1822bf233071	Crypto_Price     	Crypto_Price_XRP                 	0.7069	XRP Up or Down - October 2, 8AM ET
0xb33106ceb262ce994bd61bb746d37b6b41cb3ddc7891c8ea563f9c2ddad0cb07	Crypto_Price     	Crypto_Price_Bitcoin             	0.6873	Bitcoin Up or Down - September 24, 6:30PM-6:45PM ET
0xd156086ff3452d9139a3243a3e3712a5ce807026c993d61c23f39e393629661e	Sports_Soccer    	Sports_Soccer_Premier_League     	0.5559	Will Hampton & Richmond Borough FC win on 2025-10-11?
0x30a32603d3c2405bd29b9e8ff464ef8e55f9b16ed56a7a97730887f308772f3b	Crypto_Price     	Crypto_Price_Ethereum            	0.7267	Ethereum Up or Down - November 10, 3:30AM-3:45AM ET
0x937f83a60268bb7b8ab5b80eae642c028d4d3e47b23b75d70eb6a2377ad40d10	Crypto_Price     	Crypto_Price_Bitcoin             	0.6619	Bitcoin above $60,000 on August 30?
0x1ed29e231ea86639061189c37bc0925f656a51f1897b7f4e2f324c4794d4c760	Crypto_Price     	Crypto_Price_Solana              	0.6992	Will the price of Solana be above $208 on September 24 at 8AM ET?
0xd7704e55a029c76ce8fa8a62b873733fa7099058f5a45b511aa522c85f9f729a	Sports_Soccer    	Sports_Soccer_Premier_League     	0.5932	Will Peterborough United FC win on 2025-11-01?
0x71e85762277d568b22614650bcf16addd3a13afe4a17ebc687e08e13b780c778	Economy_Finance  	Economy_Fed_Central_Bank         	0.6282	Will anyone say "Macroeconomic" during the FED board meeting on October 24?
0xf599867c2694e5c0a7f079442735318f3529686065da4154785d657c93525652	Sports_Soccer    	Sports_Soccer_Other              	0.5862	Will Bayern München win on 2025-11-01?
0xf1af0aa504c0e371ecdcb0d28df8ed3dd40b24e0e0e3bae8371b9e4635950ab9	Sports_Football  	Sports_Football_College          	0.5829	North Florida vs. Stetson
0x8cccd25b326b99d2fc13ec0b38b15c83c81d7fa2e38fc98f3be9ad56b906b7f6	Sports_Football  	Sports_Football_NFL              	0.6143	Spread: PHI (-4.5)
0xe15f3eb5a3fe7be81db947fee868b64b0f14c7f9b9551c33085edca4153aae15	Crypto_Market    	Crypto_Market_ETF_Institutional  	0.5232	Will Trump say "Jew" this week?
0x4a7278fce6df49f37512c52d27d09bb8e7bf171e03e7c5d3d21975f6c820a6af	Society          	Society_Business                 	0.5757	Will WeWork announce bankruptcy by November 12?
0x1b1b9e20c4f1a24a4b5f9d927e23964a8575cb5078a4b92744d9f0496d6d79d8	Politics_US      	Politics_US_Congress             	0.5246	Liberal Democrats win the second most seats in next UK election?
0x11e9d25a1b19fc96f60695c2c30394afca7bdae97a3c2beaa503db1b831d1124	Crypto_Price     	Crypto_Price_Ethereum            	0.7211	Will the price of Ethereum be between $4300 and $4400 on September 2 at 4PM ET?
0x58773417b088dfa9010ba46b85b6fe94266cfd32cceca2a7cfcd906c2103e609	Sports_Soccer    	Sports_Soccer_Other              	0.6267	Will Club Necaxa vs. CF Pachuca end in a draw?
0x7062c0f31c5a44eec56dff4fead0ef4008a467575c68699c94ac918841589289	Sports_Soccer    	Sports_Soccer_Other              	0.6388	Will Shamrock Rovers FC vs. NK Celje end in a draw?
0x1f3a760a69047345591fb56328cf7328aa5ed2b2e367956851bbdcdc41b4b92a	Politics_World   	Politics_World_Elections         	0.5640	Will Volodymyr Zelenskyy and Vladimir Putin meet in person before June 2022?
0x5a466cb1fd61df0ff4a6c3f8c1fd2903acfa323ccdc4206b454124b68825204e	Tech             	Tech_BigTech                     	0.5567	Will Trump and Elon say "Billion" 10 or more times during their Feb 18 interview?
0x2756d21454db7f4df495a7ceb371f747fa78923c7ff22bbfb9ca4afb3477d769	Sports_Football  	Sports_Football_College          	0.6194	Louisiana Tech vs. LSU
0x941ce0cb4eb5a5b1be9b3e64af0be98ee9c0349e901b4b2bfd052aedf3b96308	Sports_Basketball	Sports_Basketball_NBA            	0.5710	Spread: Raptors (-1.5)
0x6be561b297eee46b94b045ff8b74d468b3f244dc430735a637561fed82ec9aa2	Crypto_Price     	Crypto_Price_Solana              	0.7193	Solana Up or Down - September 14, 6AM ET
0xb0cab15ac3fccdc6ab7729d2664c5c8284a56db51e330e88f6e6db6830c0158f	Crypto_Price     	Crypto_Price_Bitcoin             	0.6867	Will the price of Bitcoin be above $116,500 on September 12 at 4AM ET?
0xf854a15db6e2ec0b18659932f15a4ce68f6ef0881f6d815ac470b1befa08b2b9	Sports_Individual	Sports_Baseball_MLB              	0.5589	Chicago White Sox vs. Boston Red Sox
0x8e1171e0559dc1221595f270a39c5615e6ce8949f833012285587b04e1730af9	Weather          	Weather_Temperature              	0.6929	Will the highest temperature in London be 73°F or below on July 14?
0x3eff9e16d335cf5ba23a7337e6cce8692e3c95cd6906f119858bf91236cde07f	Sports_Football  	Sports_Football_NFL              	0.5862	NFL: Will the Chiefs beat the Bills by more than 1.5 points in their January 22 matchup?
0x903b682eae700e571eedb461eac099323b17e3e63d6487afae2bedacb5838652	Sports_Basketball	Sports_Basketball_NBA            	0.5892	Timberwolves vs. Nets: O/U 229.5
0x8a36b64ffe5f9753167526fb9d62f3a37dbcf04f5a323f3f0233d2d7cd90c896	Crypto_Price     	Crypto_Price_Ethereum            	0.7343	Ethereum Up or Down - October 24, 3:15PM-3:30PM ET
0x514e5b322e60289a6ca3b3391a61974d7e71139eb97beecf31151839adc954af	Sports_Individual	Sports_Baseball_MLB              	0.5579	MLB: Atlanta Braves vs. Los Angeles Dodgers 2023-05-22
0x67aae72e6bbbea8bfda9204f7ddc040e196a8ec75a7b2062db30cd2573dc14df	Sports_Basketball	Sports_Basketball_WNBA           	0.5878	Will Texas A&M (Women’s) win the 2025–2026 SEC Regular Season?
0xfd3f14a8e1deb916d7bb900bf9112b2af4328b5e8385f8fdbe855526e00f9f70	Crypto_Market    	Crypto_Market_ETF_Institutional  	0.6222	MicroStrategy purchases >5000 BTC August 5-11?
0x1bde48bc1c46698c6082445d16f5574bb66cc4dc93dd4ea66e2eab848235bd83	Crypto_Price     	Crypto_Price_Ethereum            	0.7028	Will the price of Ethereum be above $4,275 on September 11 at 12AM ET?
0xedcbeaa885384aad47ba3e156e1a0231cce04cd19a6d3d5d5888e96e0e11e6b5	Sports_Soccer    	Sports_Soccer_Other              	0.5551	Will CA Huracán win on 2025-11-03?
0xf810446b9f2c8d410464a5eee5fe7f1ff653864de363e8014fd300a0d1e357ba	Crypto_Price     	Crypto_Price_Solana              	0.7129	Solana Up or Down - October 25, 10AM ET
0x424666898ba18d10f05723b17730d192d65bf6d05dfbd476a18561de52d47412	Sports_Individual	Sports_Racing_Motorsport         	0.5575	Will Cole Custer win the 2025 NASCAR Grant Park 165?
0xd07423fc23eaa67cc2e66d06784e197df77326a53b52a0265207520ca7b1d1ef	Crypto_Price     	Crypto_Price_Solana              	0.7089	Solana Up or Down - July 31, 1AM ET
0x5eff775f56b5e3159ac217489054c2bd12f185ac32db3b482b627bd8da004f6b	Entertainment    	Entertainment_TV_Streaming       	0.5139	Will 'The Life of a Showgirl (feat. Sabrina Carpenter)' be the least streamed song on The Life of a Showgirl on Oct 10th?
0x3f4d342cd7ffe4048deaa8251bab8b9429453b0ba4a79e4b3068bbd5e7f326e8	Sports_Basketball	Sports_Basketball_NBA            	0.5985	NBA: Who will win the Warriors vs. Clippers, scheduled for February 14 (10.30 PM ET)?
0xb447a0ceaf7cbb4ebf1a0d44e89e5660e3889e5ec6f9c45ee26a0d6dcf07e330	Crypto_Price     	Crypto_Price_Solana              	0.7000	Will the price of Solana be above $256 on September 18 at 8PM ET?
0x93dc2f54940e8462106ec7e6ab17266be0107c07a29b766c8802161a8ff9f867	Crypto_Price     	Crypto_Price_Bitcoin             	0.7023	Will the price of Bitcoin be between $116,500 and $117,000 on September 21 at 4AM ET?
0x68d6b5f0be2bca002963db252fa87ec1c3bb4b430f32533829d196c810b3d06e	Politics_US      	Politics_US_Trump                	0.6717	Will Donald Trump sign an executive order on July 27?
0xfa0ccf874f6c00490d260e6de47900d9d54c74e2b981164d50889dbb05271f87	Sports_Soccer    	Sports_Soccer_Other              	0.5355	Open de Moselle: Matteo Berrettini vs Quentin Halys
0xd946b6dbcd4368eb11b37762e8edcc4cbd58c66cb74130b2ab78248b5ebf0945	Sports_Basketball	Sports_Basketball_NBA            	0.6055	Will the Atlanta Hawks finish with the best record in the NBA?
0x552f066b699f94253e10e541ef85f16837721a03fe94045a55b6484e6761ba51	Sports_Individual	Sports_Baseball_MLB              	0.5790	Houston Astros vs. St. Louis Cardinals
0x7e1563bc5253dbf9aa5d8a9a6527d578294155d8ef3add92854c565be741f31a	Crypto_Price     	Crypto_Price_Solana              	0.7091	Will Solana dip to $140 before 2026?
0x15c7ced74ac24a84a5d79ab088cd6d9cd8df20ac7b302363e1f5613df4e2d370	Sports_Individual	Sports_Esports                   	0.5931	Counter-Strike: Zomblers vs Green Tea Party (BO3)
0x58ec774737119e2c1069cd4f19ea842555235a28ca7da3b51a76560d5aa6d976	Crypto_Price     	Crypto_Price_Ethereum            	0.7265	Ethereum Up or Down - September 16, 3:15AM-3:30AM ET
0x0ca33af5dd1f978947bdd9eebcd775cbb89c966dc543437e61d4909be8a89b6e	Sports_Individual	Sports_Esports                   	0.6350	Counter-Strike: FUT Esports vs Heroic (BO3)
0x7a994496332352cf1dbb1e3bff52e4b7ba2aa0bccd7788844dd93257d62606f2	Crypto_Price     	Crypto_Price_XRP                 	0.7033	Will the price of XRP be above $3.06 on September 21 at 4PM ET?
0x9c51668a08a86c347318d2c0d3119ad28649a64b7f434c0b18024459d36d999d	Sports_Soccer    	Sports_Soccer_Other              	0.5422	Will Tromsø IL win on 2025-11-09?
0x67f19466193fddcc564339edbc0451c7d0eef470188b76157a1dfd562b50486d	Sports_Soccer    	Sports_Soccer_Other              	0.5821	Will Venezuela win on 2025-11-18?
0x19c683282aafcbe3721a06ff4c9ea850964bbb20bb33632eff4d54527639befd	Crypto_Price     	Crypto_Price_Ethereum            	0.7334	Ethereum Up or Down - October 30, 3:30PM-3:45PM ET
0x51eb626bd77a0e9deb212247848cf0f0a0792670dce43093f909667408d89489	Tech             	Tech_BigTech                     	0.5444	Will Apple acquire Mistral by September 30?
0xdd5494d6d8932839536caed7aeb21e5bb2fb500910b1d0ce43d2a5fec9f546aa	Crypto_Market    	Crypto_Market_ETF_Institutional  	0.5601	Will Harris publicly support tax on unrealized gains?
0x7a4ef24b81959fcc2f4c058d4f2c73181b0f36ccefcbfd3dc6f1f6ba5027a4a1	Crypto_Price     	Crypto_Price_Ethereum            	0.7305	Ethereum Up or Down - November 4, 4:00AM-8:00AM ET
0x528f85cffa263a4a522bd8fb323542436b53589bdad01ab2f71a439dbda29734	Crypto_Price     	Crypto_Price_Bitcoin             	0.6825	Bitcoin Up or Down - October 7, 12:45AM-1:00AM ET
0xc29942213c352970dcdb412efc9f24504aca00b15b7c9e1f23b2c7256858e063	Sports_Soccer    	Sports_Soccer_Other              	0.6375	Will Argentina vs. Uruguay end in a draw?
0x9a24e38930539c1d6f50c95aa46a6154711e4118729151866175e4868f58d2d2	Crypto_Price     	Crypto_Price_Bitcoin             	0.6814	Bitcoin Up or Down - November 5, 12:30AM-12:45AM ET
0xfb2729530bc7aca680b7a6d97f5f144f6b78a47b17815700972ac115f82db7af	Sports_Soccer    	Sports_Soccer_Other              	0.5652	Will Columbus Crew win on 2025-09-27?
0xb2f26f646f755358612232c32b1764f9f8f5feaae11643625227ec4502a39220	Crypto_Price     	Crypto_Price_Bitcoin             	0.6822	Bitcoin Up or Down - October 11, 2AM ET
0x377a656fd5097b3f9b5af89bb1b16a078172b4a6d46ad7dc14955c433019319a	Crypto_Price     	Crypto_Price_Bitcoin             	0.6866	Bitcoin Up or Down - November 6, 12PM ET
0x66d7881b09bd1d0aaed830151845e36cba3ea25adf57fcb4ba48c29ac4dc04c1	Sports_Individual	Sports_Esports                   	0.5852	Counter-Strike: Zomblers vs Green Tea Party - Map 2 Winner
0x363f56b166af36056838be5faf6e65fadb7b0da380b64bc4b91be0e984dcdfa1	Crypto_Price     	Crypto_Price_Ethereum            	0.7157	Ethereum Up or Down on April 25?
0x5fbfefa05c2b5f21924fb0caaa1fbfff8f9bb0bf77b27acff88f577ebff7ec62	Sports_Soccer    	Sports_Soccer_Other              	0.6106	Spread: SS Lazio (-1.5)
0xdb0912cfe94f4e8480b1d97beef82cc206fbd1adf8505fff52fa12ee104ef091	Crypto_Price     	Crypto_Price_Bitcoin             	0.6600	Will the price of Bitcoin be above $120,000 on October 2?
0xd26d9fddf8b056e425fb81c7fe97b568bb3523b8ed82e8a0b83eae7415fc0a8d	Sports_Individual	Sports_Tennis                    	0.5636	China Open: Gabriela Ruse vs Emma Navarro
0x66016fa41f74a14b6e5e5e6154632a3763b5b0e8d8495beabe6525e68911433e	Sports_Basketball	Sports_Basketball_NBA            	0.5682	Grizzlies vs. Pelicans
0xe438dbdcdac59a8d6d0fbe7d750b88c36bceb05376acfb5254d0ebfbb4e5adb9	Sports_Individual	Sports_Esports                   	0.5029	Will BTS announce a new world tour in 2025?
0xa71381f964dee9dd7388d08d8bec3f7a557ebf682f9d525b3774509df8bdb53f	Sports_Individual	Sports_Hockey_NHL                	0.6193	Capitals vs. Lightning: O/U 6.5
0xe3ce32c7242810f09868c02f46683918ef3182dc5b75ddadecfa6f3c5f556207	Sports_Soccer    	Sports_Soccer_Premier_League     	0.5948	Will Arsenal win on 2025-11-08?
0x9ba618bdf9fc97ca6e5cb7bf1c90edb0d94a057f73ceaab2b815e8c299a7c261	Entertainment    	Entertainment_Movies             	0.5538	Will 'Shadow Force' gross more than $2m opening weekend?
0x8cee05afa217a89cf4d5ca76d90bd287d0c73cf83640d0212c05bc5fe2b40d56	Crypto_Market    	Crypto_Market_DeFi_NFT           	0.6062	Will DeFi Dominance on CoinGecko be 5.15% or higher on April 25?
0x55129e65204b7a5c3812500f84719e9886ebc20d8ba1e1498c361272bfad88db	Crypto_Price     	Crypto_Price_Ethereum            	0.7355	Ethereum Up or Down - October 21, 2:15PM-2:30PM ET
0x35c013afb7cab7c11c0a67c876cdea4344d47f6f056c66d71dbbef7a47556469	Crypto_Price     	Crypto_Price_Ethereum            	0.7232	Ethereum Up or Down - September 8, 8PM ET
0xc6c3ddfc3ca159fd3196305f8b90a0d5ba461e345a7194db56dda5ad18fef37f	Crypto_Price     	Crypto_Price_Ethereum            	0.6997	Will the price of Ethereum be above $4,350 on September 11 at 12AM ET?
0xc063591caad7e7fe0deba59e8b72503ec78ca40c3a70a79b9c578409a30459f1	Crypto_Price     	Crypto_Price_Altcoin_Memecoin    	0.5444	Will Trump say "DOGE" during his Cabinet Meeting on April 30?
0x2373f4eae75e84650cc0f52d0f236a11f35d6ee781526b0327c895598ae15a7a	Politics_World   	Politics_World_Elections         	0.5318	Will PS receives over 14% of votes?
0x126a776e89ad0d8cfcb22eaa5f269a5582808da1315d81e90beae9d349332536	Sports_Individual	Sports_Esports                   	0.6310	Counter-Strike: ALGO Esports vs Dark Tigers (BO3)
0x2ab952394a0c58fdf2ec06611c68a8eb9fbd4e4d1a51ba8a25ae75cdb7848265	Crypto_Price     	Crypto_Price_XRP                 	0.6943	Will XRP reach $2.4 in July?
0x3b34bd9fd44f93ebfd6a1255f7646779a920a0c8b6db44bbaf0ae1f01bc0f05e	Crypto_Price     	Crypto_Price_Ethereum            	0.7371	Ethereum Up or Down - September 18, 5:30PM-5:45PM ET
0xf52b19543cf01f5b13f7b99dd08cf61a1b0111548a42355b4a3d4697143327cb	Sports_Individual	Sports_Racing_Motorsport         	0.6040	Will Lance Stroll finish third in the 2025 F1 Drivers Championship?
0x3df87fb6a7a50ea56f558a94fc790571cb65a33e94eab51bdc963c16f39ed6c3	Crypto_Price     	Crypto_Price_Solana              	0.7108	Will the price of Solana be between $220 and $222 on September 24 at 4AM ET?
0xa49995e1eeee7465809940f222f6b417011e4219fdd61751832957f212ad6870	Politics_World   	Politics_World_War_Conflict      	0.5267	Will Israel raid Gaza aid ship Handala by Saturday?
0xe8d0a6dd68c41428f7e3ab217261aac971662953659f6f95a8aac8190e7e4a65	Crypto_Price     	Crypto_Price_Bitcoin             	0.6846	Bitcoin Up or Down - September 23, 2:30PM-2:45PM ET
0x18c3971599a9e730f5cd6fe97ed933ac4bbe776f6eaba3baac08d7f768a302dc	Crypto_Price     	Crypto_Price_Bitcoin             	0.6854	Bitcoin Up or Down - June 21, 5PM ET
0x95e7a4cdc7bfeac6cd50e90b94196808d5115ceeee11c164f526ca7cb4c2bd0e	Crypto_Price     	Crypto_Price_Ethereum            	0.5685	Over 210.5
0x94bb28c6d7cf5eb9827d463fc256138293c4ae7fbd8ca5aa88599ebb291afb2e	Sports_Football  	Sports_Football_NFL              	0.5574	Will Ashton Jeanty get drafted top 5?
0xe89d4d87e6b49ce73b490e00000aa7c62768194e2087b97750cb11b7453eaa83	Sports_Individual	Sports_Golf                      	0.5960	Will Jeremy Paul win the 2025 PGA TOUR 3M Open?
0xb698dda7b6f396161ebafa9078f70b474535ef05db24d6e98fb60f01ab678558	Sports_Basketball	Sports_Basketball_College        	0.5848	San Francisco Dons vs. Memphis Tigers
0xce7a2b539832bc6fd4b896c1673424e07e40d11f67ad19b6c276aa281f752640	Politics_World   	Politics_World_War_Conflict      	0.5794	Will Ukraine formally cede Crimea, Luhansk, or Donetsk by May 31, 2022?
0x61a8fc16ce1aca1582d4fa87ad0a1205d6c0489346061716b0b06b4fac988a1e	Crypto_Price     	Crypto_Price_Ethereum            	0.7089	Will the price of Ethereum be above $4,450 on September 8 at 4PM ET?
0xd7e0f28d32b0181efc7ff6fe9bf1207494c210a0aab3f4148ec7654930b0874f	Crypto_Price     	Crypto_Price_Ethereum            	0.7224	Will the price of Ethereum be between $2500 and $2600 on May 28 at 5 PM ET?
0x047fbbea82a5b70b6cfd9ef25efb969675ae0d81b20f2bc37574867ad193e7a2	Sports_Soccer    	Sports_Soccer_Premier_League     	0.5321	(In-Game Trading) Will the Buccaneers beat the Rams by more than 1.5 points in their week three matchup?
0x2ca23997de11db8b47c058c30bdc63be1f31f01f36fde5433dd315afaf32b2e0	Sports_Soccer    	Sports_Soccer_Other              	0.6274	Will Silkeborg IF vs. Aarhus GF end in a draw?
0xd1970f0ab82b7ba7e000709ef934fbe9dbf332f832da17973163866f9bd3d999	Sports_Basketball	Sports_Basketball_College        	0.6277	USC vs. Maryland
0x679c625d28216f18fd401636d1cdbf7dcbec47c9a957f718f3d8571bbcaf1404	Politics_US      	Politics_US_Congress             	0.5126	Will Abigail Spanberger win by 12-15%?
